iso,country_name,Transport,Clean cooking,Cold storage,Television,Mobile telephone,Water access,Sanitation,Nutrition,Education,Housing,Cooling,Heating
JOR,Jordan,0.892581874791549,0.002,0.01800000000000001,0.01200000000000001,0.02400000000000002,0.06129382289586005,0.195980997743895,0.06651767816633944,0.15896657308333487,0.11127160039166129,0.91,0.00383031451413122
JPN,Japan,0.4647866215703289,0,0,0,0,0.01636961268218195,0.01167070378188894,0.01632046181117989,0,0,0,0.02992660571635326
KAZ,Kazakhstan,0.9042061727968338,0,0,0,0,0.14479111482544593,0.4157436748631981,0.01743314757742644,0,0.18064636951096852,0.4064967843615459,0.03507633518952142
KEN,Kenya,0.9633826852570108,0.8461212121212122,0.92,0.632,0.09900000000000007,0.5217873272286468,0.681298039924078,0.17827547855204473,0,0.5991524281870299,0.157127518009728,0.21226611838417592
KGZ,Kyrgyzstan,0.9042061727968338,0.223,0.20499999999999996,0.01500000000000001,0.03500000000000003,0.3366081573645511,0.5618632677377374,0.05040644806016968,0,0.623098656326116,0.598742903683397,0.04847390985848772
KHM,Cambodia,0.989443252806331,0.842,0.92,0.34299999999999997,0.128,0.753503010952122,0.6369026893379334,0.13769887905013525,0.04830940249999997,0.35653778081880866,0.968735861842214,0
KOR,"Korea, Republic of",0.8506213119131738,0.6752,0.7096,0.4489999999999999,0.2172000000000001,0.02007103747034289,0.00375075897922205,0.00642642074844804,0,0.2860048961007293,0.2860048961007293,0.8810697674418604
KWT,Kuwait,0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0,0,0.01435097035763212,0,0.31133146586086163,0.31133146586086163,9.562315766744784e-4
LAO,Lao Peoples Democratic Republic,0.989443252806331,0.842,0.92,0.34299999999999997,0.128,0.847154754456059,0.45777360784171595,0.05450607357206014,0,0.3060098904965531,0.8788727222679391,0.23331921614614756
LBN,Lebanon,0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0.5247607152268909,0.788519067203844,0.04134921262216609,0.2807939148,0.30393556121114285,0.8300000000000001,0.00266526658292696
LBR,Liberia,0.9633826852570108,0.997,0.923,0.78,0.374,0.6453319708574549,0.8120146499526958,0.3613803156259135,0.3967490195928571,0.7836778754974033,0.944144962138631,0
LBY,Libyan Arab Jamahiriya,0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0.2867560111447267,0.73674908254328,0.03118179184122901,0.08262814378645303,0.29851587263277135,0.5768263276238786,0.00390196986082876
LCA,Saint Lucia,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.35970410186284263,0.5098056211513223,0.0976032686398849,0.04002817500363676,0.08230667182482133,0.7608,0
LKA,Sri Lanka,0.9699524754744532,0.54,0.6038333333333333,0.3873333333333333,0.08066666666666666,0.19495080747564364,0.3354881315315633,0.07071274661025798,0.01285018919999998,0.4352555563308123,0.6334705805943921,0
LSO,Lesotho,0.9633826852570108,0.6379999999999999,0.78,0.7230000000000001,0.16299999999999992,0.688408545602685,0.8575918895395351,0.31763165704854457,0.23222251889999995,0.6321479877662368,0,0.661265166305844
LTU,Lithuania,0.5965458237565414,0,0,0,0,0.08842187645364008,0.097595672020376,0.00524044432181241,0,0,0,0.2403410332034057
LUX,Luxembourg,0.5637514787774341,0,0,0,0,0.00191782070382895,0.04545956457839395,0.00554339944591742,0,0,0,0.04697564870365586
LVA,Latvia,0.5965458237565414,0,0,0,0,0.05220319471108492,0.151433780791416,0.01356242479192543,0,0,0,0.23787112703027383
MAC,Macau,0.8506213119131738,0.6752,0.7096,0.4489999999999999,0.2172000000000001,0.00357607843137008,0.47287738193018164,0.07978468037597858,0.06220680239999993,0.2701562158268677,0.5401475069518068,0.08638372093023255
